municipio;nome_escola;zona;ano_implantacao;lat;lon
Jaboatão dos Guararapes;EREM VILA RICA;Urbana;2010;-8,1168431;-35,0216677
Surubim;ETE  ANTONIO ARRUDA DE FARIAS;Urbana;2010;-7,8343877;-35,7630421
Recife;ETE  GINASIO PERNAMBUCANO CRUZ CABUGA;Urbana;2010;-8,051434;-34,880506
Limoeiro;ETE  JOSE HUMBERTO DE MOURA CAVALCANTI;Urbana;2010;-7,8572807;-35,4472616
Recife;ETE  PROFESSOR ALFREDO FREYRE;Urbana;2010;-8,0212775;-34,892698
Goiana;ETE ADERICO ALVES DE VASCONCELOS;Urbana;2010;-7,5614694;-35,0126998
Sertânia;ETE ARLINDO FERREIRA DOS SANTOS;Urbana;2010;-8,0641576;-37,283924
Carpina;ETE MARIA EDUARDA RAMOS DE BARROS;Urbana;2010;-7,8395888;-35,253417
Jaboatão dos Guararapes;ETE MAXIMIANO ACCIOLY CAMPOS;Urbana;2010;-8,1122913;-35,0129047
Timbaúba;ETE MIGUEL ARRAES DE ALENCAR;Urbana;2010;-7,4994857;-35,2982314
Orobó;EREM ABILIO DE SOUZA BARBOSA;Urbana;2010;-7,7514408;-35,6036616
São Caitano;EREM AGAMENON MAGALHAES;Urbana;2010;-8,3296561;-36,144403
Recife;EREM AGEU MAGALHAES;Urbana;2010;-8,0278089;-34,9108165
Triunfo;EREM ALFREDO DE CARVALHO;Urbana;2010;-7,8336472;-38,1040079
Condado;EREM ANTONIO CORREIA DE OLIVEIRA ANDRADE;Urbana;2010;-7,5883108;-35,1002563
Ipubi;EREM ARAO PEIXOTO DE ALENCAR;Urbana;2010;-7,6541474;-40,1531678
Jaboatão dos Guararapes;EREM AUGUSTO SEVERO;Urbana;2010;-8,1478022;-34,9131605
Recife;EREM CLOVIS BEVILAQUA;Urbana;2010;-8,0327246;-34,8872995
São Lourenço da Mata;EREM CONDE CORREA DE ARAUJO;Urbana;2010;-7,991743;-35,0444249
São Lourenço da Mata;EREM CONDE PEREIRA CARNEIRO;Urbana;2010;-7,9954462;-35,0351959
Águas Belas;EREM CORONEL NICOLAU SIQUEIRA;Urbana;2010;-9,1115799;-37,122938
Lagoa Grande;EREM DOM HELDER CAMARA;Rural;2010;-9,0766417;-40,1236013
Bonito;EREM DOUTOR ALEXANDRINO DA ROCHA;Urbana;2010;-8,4676686;-35,7303641
Bom Jardim;EREM DOUTOR MOTA SILVEIRA;Urbana;2010;-7,7916776;-35,5946045
Tracunhaém;EREM DOUTOR WALFREDO LUIZ PESSOA DE MELO;Urbana;2010;-7,8026977;-35,2317383
São José do Belmonte;EREM DOUTOR WALMY CAMPOS BEZERRA;Urbana;2010;-7,8739772;-38,7654618
Buíque;EREM DUQUE DE CAXIAS;Urbana;2010;-8,6221988;-37,1514245
Jaboatão dos Guararapes;EREM EDSON MOURY FERNANDES;Urbana;2010;-8,158108;-34,9572682
Ouricuri;EREM FERNANDO BEZERRA;Urbana;2010;-7,8878306;-40,078884
Bom Conselho;EREM FREI CAETANO DE MESSINA;Urbana;2010;-9,1696836;-36,6860592
Trindade;EREM GOVERNADOR MUNIZ FALCAO;Urbana;2010;-7,760423;-40,2678174
João Alfredo;EREM JARINA MAIA;Urbana;2010;-7,8610479;-35,5889392
Canhotinho;EREM JERONIMO GUEIROS;Urbana;2010;-8,8746147;-36,1971089
Recife;EREM JOAO BEZERRA;Urbana;2010;-8,0860418;-34,882897
Ribeirão;EREM JOAO LOPES DE SIQUEIRA SANTOS;Urbana;2010;-8,5099872;-35,3701431
Água Preta;EREM JOAO VICENTE DE QUEIROZ;Urbana;2010;-8,7065156;-35,5266317
Aliança;EREM JOAQUINA LIRA;Urbana;2010;-7,6020594;-35,2497974
Recife;EREM JORNALISTA TRAJANO CHACON;Urbana;2010;-8,0485368;-34,9258589
Pesqueira;EREM JOSE DE ALMEIDA MACIEL;Urbana;2010;-8,3548557;-36,6911568
Custódia;EREM JOSE PEREIRA BURGOS;Urbana;2010;-8,0918831;-37,6488858
Santa Cruz do Capibaribe;EREM LUIZ ALVES DA SILVA;Urbana;2010;-7,958168;-36,2049904
Passira;EREM MANOEL GUILHERME DA SILVA;Urbana;2010;-7,9877375;-35,5754225
Petrolândia;EREM MARIA CAVALCANTI NUNES;Urbana;2010;-8,9793532;-38,2210719
Catende;EREM MENDO SAMPAIO;Urbana;2010;-8,6636224;-35,7198679
Afogados da Ingazeira;EREM MONSENHOR ANTONIO DE PADUA SANTOS;Urbana;2010;-7,7542377;-37,6357231
Capoeiras;EREM NOSSA SENHORA DO PERPETUO SOCORRO;Urbana;2010;-8,7415226;-36,6318679
Parnamirim;EREM ODORICO MELO;Urbana;2010;-8,0936343;-39,5877193
Sertânia;EREM OLAVO BILAC;Urbana;2010;-8,0680465;-37,2650671
São José do Egito;EREM OLIVEIRA LIMA SJ EGITO;Urbana;2010;-7,4769807;-37,273099
Paulista;EREM PADRE OSMAR NOVAES;Urbana;2010;-7,9327181;-34,8979613
Cabo de Santo Agostinho;EREM PASTOR JOSE FLORENCIO RODRIGUES;Urbana;2010;-8,2855637;-35,0259634
Ibimirim;EREM PEDRO BEZERRA DE MELO;Urbana;2010;-8,5407981;-37,6891243
Itaíba;EREM PEDRO DE ALCANTARA RAMOS;Urbana;2010;-8,9461087;-37,4176039
Paulista;EREM PROFESSOR ARNALDO CARNEIRO LEAO;Urbana;2010;-7,9482832;-34,8599808
Glória do Goitá;EREM PROFESSOR BARROS GUIMARAES;Urbana;2010;-8,0004889;-35,293964
Altinho;EREM PROFESSOR FRANCISCO JOAQUIM DE BARROS CORREIA;Urbana;2010;-8,4886489;-36,0579149
Macaparana;EREM PROFESSORA BENEDITA DE MORAIS GUERRA;Urbana;2010;-7,5336071;-35,493501
Itapissuma;EREM PROFESSORA EURIDICE CADAVAL;Urbana;2010;-7,773583;-34,8985739
Afrânio;EREM PROFESSORA IRENE MARIA RAMOS COELHO;Urbana;2010;-8,5129873;-41,0115528
Olinda;EREM SANTA ANA;Urbana;2010;-7,9705304;-34,8404814
Belém do São Francisco;EREM TERCINA RORIZ;Urbana;2010;-8,757781;-38,9659329
Vitória de Santo Antão;ETE JOSE JOAQUIM DA SILVA FILHO;Urbana;2010;-8,1246795;-35,3006233
Caruaru;EREM ARNALDO ASSUNCAO;Urbana;2010;-8,2796501;-35,9596703
Goiana;EREM AUGUSTO GONDIM;Urbana;2010;-7,5608332;-35,0126937
Salgueiro;EREM AURA SAMPAIO PARENTE MUNIZ;Urbana;2010;-8,0705017;-39,1270971
Limoeiro;EREM AUSTRO COSTA;Urbana;2010;-7,860585;-35,443822
Floresta;EREM CAPITAO NESTOR VALGUEIRO DE CARVALHO;Urbana;2010;-8,5973248;-38,5741387
Recife;EREM DE BEBERIBE;Urbana;2010;-8,0044808;-34,8993506
Lajedo;EREM DEOLINDA AMARAL;Urbana;2010;-8,6623523;-36,3210154
Olinda;EREM DESEMBARGADOR RENATO FONSECA;Urbana;2010;-8,0069959;-34,865598
Caruaru;EREM DOM MIGUEL DE LIMA VALVERDE;Urbana;2010;-8,2946992;-35,9690543
Recife;EREM DOM SEBASTIAO LEME;Urbana;2010;-8,1144956;-34,9492561
Nazaré da Mata;EREM DON VIEIRA;Urbana;2010;-7,7419043;-35,2196142
Sirinhaém;EREM DOUTOR EURICO CHAVES;Urbana;2010;-8,5940473;-35,1124187
Limoeiro;EREM DOUTOR SEBASTIAO DE VASCONCELOS GALVAO;Urbana;2010;-7,883513;-35,45074
Vertentes;EREM GIL RODRIGUES;Urbana;2010;-7,9034205;-35,985098
Sairé;EREM JOAO PESSOA SOUTO MAIOR;Urbana;2010;-8,327435;-35,7097144
Carnaíba;EREM JOAQUIM MENDES DA SILVA;Urbana;2010;-7,7938327;-37,7949242
Carpina;EREM JOAQUIM OLAVO;Urbana;2010;-7,8442616;-35,2510178
Cabrobó;EREM JOSE CALDAS CAVALCANTI;Urbana;2010;-8,512667;-39,3084534
São Bento do Una;EREM JOSE DO PATROCINIO MOTA;Urbana;2010;-8,5236305;-36,4431998
Palmares;EREM MONSENHOR ABILIO AMERICO GALVAO;Urbana;2010;-8,684554;-35,5894112
Surubim;EREM NATALICIA MARIA FIGUEIROA DA SILVA;Urbana;2010;-7,8581278;-35,7667991
Recife;EREM OTHON PARAISO;Urbana;2010;-8,0661779;-34,917159
São José da Coroa Grande;EREM PROFESSOR CARLOS JOSE DIAS DA SILVA;Urbana;2010;-8,8897973;-35,1517785
Recife;EREM PROFESSOR MARDONIO DE ANDRADE LIMA COELHO;Urbana;2010;-8,0208161;-34,903784
Petrolina;EREM PROFESSORA OSA SANTANA DE CARVALHO;Urbana;2010;-9,3807047;-40,5349762
Recife;EREM SENADOR PAULO PESSOA GUERRA;Urbana;2010;-8,0924725;-34,9500551
Arcoverde;EREM SENADOR VITORINO FREIRE;Urbana;2010;-8,4119613;-37,0692726
Recife;EREM SILVA JARDIM;Urbana;2010;-8,0280539;-34,9284831
Camaragibe;EREM TITO PEREIRA DE OLIVEIRA;Rural;2010;-7,9667406;-34,9947027
Rio Formoso;EREM WILSON DE ANDRADE BARRETO;Urbana;2010;-8,6653533;-35,1562017
Cabo de Santo Agostinho;ETE EPITACIO PESSOA;Urbana;2010;-8,280784;-35,0307065
Belo Jardim;EREM DE BELO JARDIM;Rural;2010;-8,3266193;-36,4194752
Gravatá;EREM DE GRAVATA;Urbana;2010;-8,20463;-35,5802
Salgueiro;EREM DE SALGUEIRO;Urbana;2010;-8,0705017;-39,1270971
Araripina;EREM JOSIAS INOJOSA DE OLIVEIRA;Urbana;2010;-7,5822743;-40,4998739
Recife;EREM NOBREGA;Urbana;2010;-8,0358188;-34,8890332
Santa Maria da Boa Vista;EREM PROFESSORA EDITE MATOS;Urbana;2010;-8,788248;-39,8306828
Recife;ETE PORTO DIGITAL;Urbana;2010;-8,062681;-34,873323
Cabo de Santo Agostinho;EREM CABO DE SANTO AGOSTINHO;Urbana;2010;-8,2408349;-34,9778639
Petrolina;EREM CLEMENTINO COELHO;Urbana;2010;-9,386151;-40,5150289
Arcoverde;EREM DE ARCOVERDE;Urbana;2010;-8,4170843;-37,0382817
Garanhuns;EREM DE GARANHUNS;Urbana;2010;-8,8883454;-36,4854376
Ipojuca;EREM DE IPOJUCA;Urbana;2010;-8,3969327;-35,0600657
Panelas;EREM DE PANELAS;Rural;2010;-8,6616308;-36,0128641
Timbaúba;EREM DE TIMBAUBA PROFESSOR ANTONIO JOSE BARBOZA DOS SANTOS;Urbana;2010;-7,5153957;-35,3102036
Palmares;EREM DOS PALMARES DOM ACACIO RODRIGUES ALVES;Urbana;2010;-8,684554;-35,5894112
Abreu e Lima;EREM MARIA VIEIRA MULITERNO;Urbana;2010;-7,9083842;-34,8973828
Serra Talhada;EREM PROFESSOR ADAUTO CARVALHO;Urbana;2010;-7,9820441;-38,2904945
Recife;ETE CICERO DIAS;Urbana;2010;-8,1288634;-34,9072712
Bezerros;EREM DE BEZERROS;Urbana;2010;-8,2324787;-35,7301093
Recife;EREM GINASIO PERNAMBUCANO AURORA;Urbana;2010;-8,0580795;-34,8792046
Palmares;ETE DE PALMARES;Urbana;2010;-8,6816538;-35,577621
Recife;ETE PROFESSOR AGAMENON MAGALHAES ETEPAM;Urbana;2010;-8,0390784;-34,8932106
Escada;ETE LUIZ DIAS LINS;Urbana;2010;-8,3627771;-35,2148952
Recife;ETE ALMIRANTE SOARES DUTRA;Urbana;2010;-8,047488;-34,875656
Serra Talhada;ETE CLOVIS NOGUEIRA ALVES;Urbana;2010;-7,9944519;-38,2972079
Brejo da Madre de Deus;EREM ANDRE CORDEIRO;Urbana;2011;-8,1450324;-36,3742344
Tuparetama;EREM CONEGO OLIMPIO TORRES;Urbana;2011;-7,6007418;-37,3070694
São Vicente Ferrer;EREM CORONEL JOAO FRANCISCO;Urbana;2011;-7,5876614;-35,4908287
Cachoeirinha;EREM CORSINA BRAGA;Urbana;2011;-8,4904451;-36,2433028
Quipapá;EREM DOUTOR FERNANDO PESSOA DE MELLO;Urbana;2011;-8,8277107;-36,0065268
Santa Maria do Cambucá;EREM JOAO DAVID DE SOUZA;Urbana;2011;-7,8343273;-35,8812021
Tupanatinga;EREM JOSE EMILIO DE MELO;Urbana;2011;-8,7535159;-37,3428907
Bom Jardim;EREM JUSTULINO FERREIRA GOMES;Rural;2011;-7,832455;-35,6516728
Caetés;EREM LUIZ PEREIRA JUNIOR;Urbana;2011;-8,7807212;-36,6271587
Cumaru;EREM MANOEL GONCALVES DE LIMA;Urbana;2011;-8,0087913;-35,70126
Belém de Maria;EREM PRESIDENTE TANCREDO NEVES;Urbana;2011;-8,6163461;-35,8489947
Pedra;EREM PROFESSOR BRASILIANO DONINO DA COSTA LIMA;Urbana;2011;-8,4997714;-36,9471803
Quixaba;EREM SOLIDONIO PEREIRA DE CARVALHO;Urbana;2011;-7,7175488;-37,8432833
Tamandaré;EREM TAMANDARE;Urbana;2011;-8,7571603;-35,1019752
Recife;ETE DE CRIATIVIDADE MUSICAL;Urbana;2011;-8,06012985;-34,88044048
Flores;EREM AIRES GAMA;Urbana;2011;-7,863293;-37,9729148
Ilha de Itamaracá;EREM ALBERTO AUGUSTO DE MORAIS PRADINES;Urbana;2011;-7,7480977;-34,8248711
Recife;EREM ALVARO LINS;Urbana;2011;-7,9994276;-34,9225354
Recife;EREM AMAURY DE MEDEIROS;Urbana;2011;-8,0803971;-34,9080109
Recife;EREM ANIBAL FALCAO;Urbana;2011;-8,0874498;-34,9572871
Recife;EREM ANIBAL FERNANDES;Urbana;2011;-8,0874498;-34,9572871
Amaraji;EREM ANTONIO ALVES DE ARAUJO;Urbana;2011;-8,3748772;-35,4551341
Recife;EREM APOLONIO SALES;Urbana;2011;-8,1099122;-34,932535
Fernando de Noronha;EREM ARQUIPELAGO DE FERNANDO DE NORONHA;Urbana;2011;-3,8409476;-32,4110786
Bodocó;EREM ARTUR BARROS CAVALCANTI;Urbana;2011;-7,7792217;-39,9377685
Exu;EREM BARAO DE EXU;Urbana;2011;-7,5116696;-39,7218127
Moreno;EREM CARDEAL DOM JAIME CAMARA;Urbana;2011;-8,1192762;-35,0971844
Recife;EREM CLOTILDE DE OLIVEIRA;Urbana;2011;-8,0197463;-34,9260249
Paudalho;EREM CONFEDERACAO DO EQUADOR;Urbana;2011;-7,9031535;-35,1851351
Jatobá;EREM DE ITAPARICA;Urbana;2011;-9,1741302;-38,2467566
Barreiros;EREM DOUTOR ANTHENOR GUIMARAES;Rural;2011;-8,811799;-35,2069678
Recife;EREM ENGENHEIRO LAURO DINIZ;Urbana;2011;-8,1144319;-34,9212301
Igarassu;EREM EURICO PFISTERER;Urbana;2011;-7,868536;-34,904385
Garanhuns;EREM FRANCISCO MADEIROS;Urbana;2011;-8,8852489;-36,5058776
Mirandiba;EREM FRANCISCO PIRES;Urbana;2011;-8,1172828;-38,7269817
Itambé;EREM FREI ORLANDO;Urbana;2011;-7,4067784;-35,1098221
Ipojuca;EREM FREI OTTO;Urbana;2011;-8,4377973;-35,0128464
Granito;EREM GOVERNADOR MIGUEL ARRAES DE ALENCAR;Urbana;2011;-7,7106464;-39,6191817
Tacaratu;EREM JOAO BATISTA DE VASCONCELOS;Urbana;2011;-9,1062525;-38,15244
Recife;EREM JOAQUIM NABUCO;Urbana;2011;-8,0748446;-34,8913054
Tacaimbó;EREM JOSE LEITE BARROS;Urbana;2011;-8,3090898;-36,3003624
Paulista;EREM MAESTRO NELSON FERREIRA;Urbana;2011;-7,9132199;-34,8434789
Olinda;EREM MARECHAL FLORIANO PEIXOTO;Urbana;2011;-7,9731087;-34,8699866
Escada;EREM MONSENHOR JOAO RODRIGUES DE CARVALHO;Urbana;2011;-8,3631589;-35,2304654
Sanharó;EREM NOSSA SENHORA DE FATIMA;Urbana;2011;-8,3611584;-36,5626757
Recife;EREM OLINTO VICTOR;Urbana;2011;-8,0324598;-34,9556198
Recife;EREM OLIVEIRA LIMA;Urbana;2011;-8,0606597;-34,8904913
Petrolina;EREM OTACILIO NUNES DE SOUZA;Urbana;2011;-9,386063;-40,4937922
Vicência;EREM PADRE GUEDES;Urbana;2011;-7,6588779;-35,3198309
Recife;EREM PADRE NERCIO RODRIGUES;Urbana;2011;-8,007786;-34,907733
Gravatá;EREM PROFESSOR ANTONIO FARIAS;Urbana;2011;-8,1974569;-35,5691127
Recife;EREM PROFESSOR CANDIDO DUARTE;Urbana;2011;-8,0209659;-34,938991
Camaragibe;EREM PROFESSOR CARLOS FREDERICO DO REGO MACIEL;Urbana;2011;-8,025655;-34,997686
Itaquitinga;EREM PROFESSOR DENIVAL JOSE RODRIGUES DE MELO;Urbana;2011;-7,6597807;-35,1031952
Olinda;EREM PROFESSOR ERNESTO SILVA;Urbana;2011;-7,9634296;-34,845322
Recife;EREM PROFESSOR JORDAO EMERENCIANO;Urbana;2011;-8,1195241;-34,9555835
Jaboatão dos Guararapes;EREM PROFESSOR MOACYR DE ALBUQUERQUE;Urbana;2011;-8,0908404;-34,9745729
Recife;EREM PROFESSOR TRAJANO DE MENDONCA;Urbana;2011;-8,0785098;-34,9413175
Salgueiro;EREM PROFESSOR URBANO GOMES DE SA;Urbana;2011;-8,0735278;-39,1281188
Paulista;EREM PROFESSORA AMARINA SIMOES;Urbana;2011;-7,9383499;-34,8729389
Tabira;EREM PROFESSORA CARLOTA BRECKENFELD;Urbana;2011;-7,5882464;-37,5413882
Brejão;EREM PROFESSORA ISMENIA LEMOS WANDERLEY;Urbana;2011;-9,0295682;-36,5663644
Venturosa;EREM QUITERIA WANDERLEY SIMOES;Urbana;2011;-8,5792734;-36,8745197
Jaboatão dos Guararapes;EREM RODOLFO AURELIANO;Urbana;2011;-8,1131366;-35,0194879
Recife;EREM SANTOS DUMONT;Urbana;2011;-8,1319678;-34,9071666
Dormentes;EREM SENADOR NILO COELHO;Urbana;2011;-8,4363764;-40,7691977
Taquaritinga do Norte;EREM SEVERINO CORDEIRO DE ARRUDA;Urbana;2011;-7,9029703;-36,0436172
Surubim;EREM SEVERINO FARIAS;Urbana;2011;-8,7819395;-35,2880859
Recife;EREM SIZENANDO SILVEIRA;Urbana;2011;-8,0546649;-34,8816863
Jaboatão dos Guararapes;EREM VILA RICA;Urbana;2011;-8,1168431;-35,0216677
Surubim;ETE  ANTONIO ARRUDA DE FARIAS;Urbana;2011;-7,8343877;-35,7630421
Recife;ETE  GINASIO PERNAMBUCANO CRUZ CABUGA;Urbana;2011;-8,051434;-34,880506
Limoeiro;ETE  JOSE HUMBERTO DE MOURA CAVALCANTI;Urbana;2011;-7,8572807;-35,4472616
Recife;ETE  PROFESSOR ALFREDO FREYRE;Urbana;2011;-8,0212775;-34,892698
Goiana;ETE ADERICO ALVES DE VASCONCELOS;Urbana;2011;-7,5614694;-35,0126998
Sertânia;ETE ARLINDO FERREIRA DOS SANTOS;Urbana;2011;-8,0641576;-37,283924
Carpina;ETE MARIA EDUARDA RAMOS DE BARROS;Urbana;2011;-7,8395888;-35,253417
Jaboatão dos Guararapes;ETE MAXIMIANO ACCIOLY CAMPOS;Urbana;2011;-8,1122913;-35,0129047
Timbaúba;ETE MIGUEL ARRAES DE ALENCAR;Urbana;2011;-7,4994857;-35,2982314
Orobó;EREM ABILIO DE SOUZA BARBOSA;Urbana;2011;-7,7514408;-35,6036616
São Caitano;EREM AGAMENON MAGALHAES;Urbana;2011;-8,3296561;-36,144403
Recife;EREM AGEU MAGALHAES;Urbana;2011;-8,0278089;-34,9108165
Triunfo;EREM ALFREDO DE CARVALHO;Urbana;2011;-7,8336472;-38,1040079
Condado;EREM ANTONIO CORREIA DE OLIVEIRA ANDRADE;Urbana;2011;-7,5883108;-35,1002563
Ipubi;EREM ARAO PEIXOTO DE ALENCAR;Urbana;2011;-7,6541474;-40,1531678
Jaboatão dos Guararapes;EREM AUGUSTO SEVERO;Urbana;2011;-8,1478022;-34,9131605
Recife;EREM CLOVIS BEVILAQUA;Urbana;2011;-8,0327246;-34,8872995
São Lourenço da Mata;EREM CONDE CORREA DE ARAUJO;Urbana;2011;-7,991743;-35,0444249
São Lourenço da Mata;EREM CONDE PEREIRA CARNEIRO;Urbana;2011;-7,9954462;-35,0351959
Águas Belas;EREM CORONEL NICOLAU SIQUEIRA;Urbana;2011;-9,1115799;-37,122938
Lagoa Grande;EREM DOM HELDER CAMARA;Rural;2011;-9,0766417;-40,1236013
Bonito;EREM DOUTOR ALEXANDRINO DA ROCHA;Urbana;2011;-8,4676686;-35,7303641
Bom Jardim;EREM DOUTOR MOTA SILVEIRA;Urbana;2011;-7,7916776;-35,5946045
Tracunhaém;EREM DOUTOR WALFREDO LUIZ PESSOA DE MELO;Urbana;2011;-7,8026977;-35,2317383
São José do Belmonte;EREM DOUTOR WALMY CAMPOS BEZERRA;Urbana;2011;-7,8739772;-38,7654618
Buíque;EREM DUQUE DE CAXIAS;Urbana;2011;-8,6221988;-37,1514245
Jaboatão dos Guararapes;EREM EDSON MOURY FERNANDES;Urbana;2011;-8,158108;-34,9572682
Ouricuri;EREM FERNANDO BEZERRA;Urbana;2011;-7,8878306;-40,078884
Bom Conselho;EREM FREI CAETANO DE MESSINA;Urbana;2011;-9,1696836;-36,6860592
Trindade;EREM GOVERNADOR MUNIZ FALCAO;Urbana;2011;-7,760423;-40,2678174
João Alfredo;EREM JARINA MAIA;Urbana;2011;-7,8610479;-35,5889392
Canhotinho;EREM JERONIMO GUEIROS;Urbana;2011;-8,8746147;-36,1971089
Recife;EREM JOAO BEZERRA;Urbana;2011;-8,0860418;-34,882897
Ribeirão;EREM JOAO LOPES DE SIQUEIRA SANTOS;Urbana;2011;-8,5099872;-35,3701431
Água Preta;EREM JOAO VICENTE DE QUEIROZ;Urbana;2011;-8,7065156;-35,5266317
Aliança;EREM JOAQUINA LIRA;Urbana;2011;-7,6020594;-35,2497974
Recife;EREM JORNALISTA TRAJANO CHACON;Urbana;2011;-8,0485368;-34,9258589
Pesqueira;EREM JOSE DE ALMEIDA MACIEL;Urbana;2011;-8,3548557;-36,6911568
Custódia;EREM JOSE PEREIRA BURGOS;Urbana;2011;-8,0918831;-37,6488858
Santa Cruz do Capibaribe;EREM LUIZ ALVES DA SILVA;Urbana;2011;-7,958168;-36,2049904
Passira;EREM MANOEL GUILHERME DA SILVA;Urbana;2011;-7,9877375;-35,5754225
Petrolândia;EREM MARIA CAVALCANTI NUNES;Urbana;2011;-8,9793532;-38,2210719
Catende;EREM MENDO SAMPAIO;Urbana;2011;-8,6636224;-35,7198679
Afogados da Ingazeira;EREM MONSENHOR ANTONIO DE PADUA SANTOS;Urbana;2011;-7,7542377;-37,6357231
Capoeiras;EREM NOSSA SENHORA DO PERPETUO SOCORRO;Urbana;2011;-8,7415226;-36,6318679
Parnamirim;EREM ODORICO MELO;Urbana;2011;-8,0936343;-39,5877193
Sertânia;EREM OLAVO BILAC;Urbana;2011;-8,0680465;-37,2650671
São José do Egito;EREM OLIVEIRA LIMA SJ EGITO;Urbana;2011;-7,4769807;-37,273099
Paulista;EREM PADRE OSMAR NOVAES;Urbana;2011;-7,9327181;-34,8979613
Cabo de Santo Agostinho;EREM PASTOR JOSE FLORENCIO RODRIGUES;Urbana;2011;-8,2855637;-35,0259634
Ibimirim;EREM PEDRO BEZERRA DE MELO;Urbana;2011;-8,5407981;-37,6891243
Itaíba;EREM PEDRO DE ALCANTARA RAMOS;Urbana;2011;-8,9461087;-37,4176039
Paulista;EREM PROFESSOR ARNALDO CARNEIRO LEAO;Urbana;2011;-7,9482832;-34,8599808
Glória do Goitá;EREM PROFESSOR BARROS GUIMARAES;Urbana;2011;-8,0004889;-35,293964
Altinho;EREM PROFESSOR FRANCISCO JOAQUIM DE BARROS CORREIA;Urbana;2011;-8,4886489;-36,0579149
Macaparana;EREM PROFESSORA BENEDITA DE MORAIS GUERRA;Urbana;2011;-7,5336071;-35,493501
Itapissuma;EREM PROFESSORA EURIDICE CADAVAL;Urbana;2011;-7,773583;-34,8985739
Afrânio;EREM PROFESSORA IRENE MARIA RAMOS COELHO;Urbana;2011;-8,5129873;-41,0115528
Olinda;EREM SANTA ANA;Urbana;2011;-7,9705304;-34,8404814
Belém do São Francisco;EREM TERCINA RORIZ;Urbana;2011;-8,757781;-38,9659329
Vitória de Santo Antão;ETE JOSE JOAQUIM DA SILVA FILHO;Urbana;2011;-8,1246795;-35,3006233
Caruaru;EREM ARNALDO ASSUNCAO;Urbana;2011;-8,2796501;-35,9596703
Goiana;EREM AUGUSTO GONDIM;Urbana;2011;-7,5608332;-35,0126937
Salgueiro;EREM AURA SAMPAIO PARENTE MUNIZ;Urbana;2011;-8,0705017;-39,1270971
Limoeiro;EREM AUSTRO COSTA;Urbana;2011;-7,860585;-35,443822
Floresta;EREM CAPITAO NESTOR VALGUEIRO DE CARVALHO;Urbana;2011;-8,5973248;-38,5741387
Recife;EREM DE BEBERIBE;Urbana;2011;-8,0044808;-34,8993506
Lajedo;EREM DEOLINDA AMARAL;Urbana;2011;-8,6623523;-36,3210154
Olinda;EREM DESEMBARGADOR RENATO FONSECA;Urbana;2011;-8,0069959;-34,865598
Caruaru;EREM DOM MIGUEL DE LIMA VALVERDE;Urbana;2011;-8,2946992;-35,9690543
Recife;EREM DOM SEBASTIAO LEME;Urbana;2011;-8,1144956;-34,9492561
Nazaré da Mata;EREM DON VIEIRA;Urbana;2011;-7,7419043;-35,2196142
Sirinhaém;EREM DOUTOR EURICO CHAVES;Urbana;2011;-8,5940473;-35,1124187
Limoeiro;EREM DOUTOR SEBASTIAO DE VASCONCELOS GALVAO;Urbana;2011;-7,883513;-35,45074
Vertentes;EREM GIL RODRIGUES;Urbana;2011;-7,9034205;-35,985098
Sairé;EREM JOAO PESSOA SOUTO MAIOR;Urbana;2011;-8,327435;-35,7097144
Carnaíba;EREM JOAQUIM MENDES DA SILVA;Urbana;2011;-7,7938327;-37,7949242
Carpina;EREM JOAQUIM OLAVO;Urbana;2011;-7,8442616;-35,2510178
Cabrobó;EREM JOSE CALDAS CAVALCANTI;Urbana;2011;-8,512667;-39,3084534
São Bento do Una;EREM JOSE DO PATROCINIO MOTA;Urbana;2011;-8,5236305;-36,4431998
Palmares;EREM MONSENHOR ABILIO AMERICO GALVAO;Urbana;2011;-8,684554;-35,5894112
Surubim;EREM NATALICIA MARIA FIGUEIROA DA SILVA;Urbana;2011;-7,8581278;-35,7667991
Recife;EREM OTHON PARAISO;Urbana;2011;-8,0661779;-34,917159
São José da Coroa Grande;EREM PROFESSOR CARLOS JOSE DIAS DA SILVA;Urbana;2011;-8,8897973;-35,1517785
Recife;EREM PROFESSOR MARDONIO DE ANDRADE LIMA COELHO;Urbana;2011;-8,0208161;-34,903784
Petrolina;EREM PROFESSORA OSA SANTANA DE CARVALHO;Urbana;2011;-9,3807047;-40,5349762
Recife;EREM SENADOR PAULO PESSOA GUERRA;Urbana;2011;-8,0924725;-34,9500551
Arcoverde;EREM SENADOR VITORINO FREIRE;Urbana;2011;-8,4119613;-37,0692726
Recife;EREM SILVA JARDIM;Urbana;2011;-8,0280539;-34,9284831
Camaragibe;EREM TITO PEREIRA DE OLIVEIRA;Rural;2011;-7,9667406;-34,9947027
Rio Formoso;EREM WILSON DE ANDRADE BARRETO;Urbana;2011;-8,6653533;-35,1562017
Cabo de Santo Agostinho;ETE EPITACIO PESSOA;Urbana;2011;-8,280784;-35,0307065
Belo Jardim;EREM DE BELO JARDIM;Rural;2011;-8,3266193;-36,4194752
Gravatá;EREM DE GRAVATA;Urbana;2011;-8,20463;-35,5802
Salgueiro;EREM DE SALGUEIRO;Urbana;2011;-8,0705017;-39,1270971
Araripina;EREM JOSIAS INOJOSA DE OLIVEIRA;Urbana;2011;-7,5822743;-40,4998739
Recife;EREM NOBREGA;Urbana;2011;-8,0358188;-34,8890332
